Index	Text	POS CLAWS
1	Mix	VV0
2	the	AT
3	cream	NN1
4	cheese	NN1
5	,	,
6	beef	NN1
7	,	,
8	olives	NN2
9	,	,
10	onion	NN1
11	,	,
12	and	CC
13	Worcestershire	NP1
14	sauce	NN1
15	together	RL
16	in	II
17	a	AT1
18	bowl	NN1
19	until	CS
20	evenly	RR
21	blended	VVN
22	.	.
23	Keeping	VVG
24	the	AT
25	mixture	NN1
26	in	II
27	the	AT
28	bowl	NN1
29	,	,
30	scrape	VV0
31	it	PPH1
32	into	II
33	a	AT1
34	semi-ball	NN1
35	shape	NN1
36	.	.
37	Cover	VV0
38	,	,
39	and	CC
40	refrigerate	VV0
41	until	CS
42	firm	JJ
43	,	,
44	at	RR21
45	least	RR22
46	hours	NNT2
47	.	.
48	Place	VV0
49	a	AT1
50	large	JJ
51	sheet	NN1
52	of	IO
53	waxed	JJ
54	paper	NN1
55	on	II
56	a	AT1
57	flat	JJ
58	surface	NN1
59	.	.
60	Sprinkle	VV0
61	with	IW
62	walnuts	NN2
63	.	.
64	Roll	VV0
65	the	AT
66	cheese	NN1
67	ball	NN1
68	in	II
69	the	AT
70	walnuts	NN2
71	until	CS
72	completely	RR
73	covered	VVN
74	.	.
75	Transfer	VV0
76	the	AT
77	cheese	NN1
78	ball	NN1
79	to	II
80	a	AT1
81	serving	NN1
82	plate	NN1
83	,	,
84	or	CC
85	rewrap	VV0
86	with	IW
87	waxed	JJ
88	paper	NN1
89	and	CC
90	refrigerate	VV0
91	until	CS
92	needed	VVN
93	.	.

1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	In	II
12	a	AT1
13	shallow	JJ
14	baking	NN1
15	dish	NN1
16	combine	VV0
17	the	AT
18	artichoke	NN1
19	hearts	NN2
20	,	,
21	mozzarella	NN1
22	cheese	NN1
23	,	,
24	parmesan	JJ
25	cheese	NN1
26	and	CC
27	mayonnaise	NN1
28	.	.
29	Bake	VV0
30	for	IF
31	minutes	NNT2
32	,	,
33	or	CC
34	until	CS
35	hot	JJ
36	and	CC
37	bubbly	JJ
38	.	.
39	Sprinkle	VV0
40	with	IW
41	almonds	NN2
42	if	CS
43	desired	VVN
44	.	.
45	Serve	VV0
46	hot	JJ
47	with	IW
48	tortilla	NN1
49	chips	NN2
50	or	CC
51	crackers	NN2
52	.	.

1	Bring	VV0
2	a	AT1
3	small	JJ
4	saucepan	NN1
5	of	IO
6	water	NN1
7	to	TO
8	boil	VVI
9	.	.
10	Turn	VV0
11	off	RP
12	heat	NN1
13	.	.
14	Place	VV0
15	sun-dried	JJ
16	tomatoes	NN2
17	in	II
18	the	AT
19	water	NN1
20	and	CC
21	cover	VV0
22	for	IF
23	minutes	NNT2
24	.	.
25	Drain	VV0
26	and	CC
27	finely	RR
28	chop	NN1
29	.	.
30	In	II
31	a	AT1
32	medium	JJ
33	bowl	NN1
34	,	,
35	mix	VV0
36	cream	NN1
37	cheese	NN1
38	and	CC
39	garlic	NN1
40	.	.
41	Line	VV0
42	a	AT1
43	medium	JJ
44	bowl	NN1
45	or	CC
46	loaf	VV0
47	pan	NN1
48	with	IW
49	a	AT1
50	large	JJ
51	piece	NN1
52	of	IO
53	dampened	JJ
54	cheese	NN1
55	cloth	NN1
56	.	.
57	Layer	NN1
58	with	IW
59	/	FO
60	of	IO
61	the	AT
62	provolone	NN1
63	cheese	NN1
64	.	.
65	Spread	VV0
66	with	IW
67	/	FO
68	the	AT
69	pesto	NN1
70	.	.
71	Pour	VV0
72	in	II
73	/	FO
74	the	AT
75	cream	NN1
76	cheese	NN1
77	and	CC
78	garlic	NN1
79	mixture	NN1
80	.	.
81	Layer	NN1
82	with	IW
83	/	FO
84	the	AT
85	sun-dried	JJ
86	tomatoes	NN2
87	.	.
88	Layer	NN1
89	with	IW
90	/	FO
91	provolone	NN1
92	,	,
93	remaining	JJ
94	pesto	NN1
95	,	,
96	remaining	JJ
97	cream	NN1
98	cheese	NN1
99	and	CC
100	garlic	NN1
101	mixture	NN1
102	and	CC
103	remaining	JJ
104	sun-dried	JJ
105	tomatoes	NN2
106	.	.
107	Top	NN1
108	with	IW
109	remaining	JJ
110	provolone	NN1
111	cheese	NN1
112	.	.
113	Pull	VV0
114	cheese	NN1
115	cloth	NN1
116	around	II
117	the	AT
118	layered	JJ
119	mixture	NN1
120	and	CC
121	gently	RR
122	press	VV0
123	into	II
124	a	AT1
125	bowl	NN1
126	to	TO
127	mold	VVI
128	and	CC
129	remove	VVI
130	excess	JJ
131	oil	NN1
132	.	.
133	Chill	NN1
134	in	II
135	the	AT
136	refrigerator	NN1
137	to	II
138	hours	NNT2
139	.	.
140	Remove	VV0
141	cheese	NN1
142	cloth	NN1
143	and	CC
144	turn	VV0
145	upside	RL21
146	down	RL22
147	onto	II
148	a	AT1
149	large	JJ
150	dish	NN1
151	to	TO
152	serve	VVI
153	.	.

1	Mash	VV0
2	garlic	NN1
3	with	IW
4	the	AT
5	salt	NN1
6	in	II
7	a	AT1
8	small	JJ
9	bowl	NN1
10	.	.
11	Place	VV0
12	into	II
13	a	AT1
14	blender	NN1
15	or	CC
16	food	NN1
17	processor	NN1
18	along	II21
19	with	II22
20	the	AT
21	garbanzo	NN1
22	beans	NN2
23	,	,
24	tahini	NN1
25	,	,
26	lemon	NN1
27	juice	NN1
28	,	,
29	honey	NN1
30	,	,
31	and	CC
32	enough	DD
33	water	NN1
34	to	TO
35	cover	VVI
36	the	AT
37	beans	NN2
38	.	.
39	Process	VV0
40	until	CS
41	smooth	JJ
42	.	.
43	Spoon	NN1
44	into	II
45	a	AT1
46	serving	NN1
47	dish	NN1
48	,	,
49	and	CC
50	drizzle	NN1
51	tablespoons	NN2
52	of	IO
53	olive	JJ
54	oil	NN1
55	over	II
56	the	AT
57	top	NN1
58	.	.
59	Preheat	VV0
60	the	AT
61	oven	NN1
62	to	II
63	degrees	NN2
64	F	ZZ1
65	(	(
66	degrees	NN2
67	C	ZZ1
68	)	)
69	.	.
70	Brush	VV0
71	pita	NN1
72	breads	NN2
73	with	IW
74	remaining	JJ
75	olive	JJ
76	oil	NN1
77	,	,
78	and	CC
79	cut	VVN
80	into	II
81	wedges	NN2
82	.	.
83	Season	NNT1
84	with	IW
85	salt	NN1
86	and	CC
87	fresh	JJ
88	rosemary	NN1
89	.	.
90	Bake	VV0
91	for	IF
92	minutes	NNT2
93	in	II
94	the	AT
95	preheated	JJ
96	oven	NN1
97	.	.
98	Cool	JJ
99	,	,
100	and	CC
101	serve	VV0
102	with	IW
103	hummus	NN1
104	.	.

1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	In	II
12	a	AT1
13	medium	JJ
14	bowl	NN1
15	combine	VV0
16	the	AT
17	shredded	JJ
18	chicken	NN1
19	,	,
20	picante	NN1
21	sauce	NN1
22	and	CC
23	ground	NN1
24	cumin	NN1
25	.	.
26	Mix	VV0
27	together	RL
28	.	.
29	In	II
30	a	AT1
31	small	JJ
32	skillet	NN1
33	heat	NN1
34	vegetable	NN1
35	oil	NN1
36	over	II
37	medium	JJ
38	high	JJ
39	heat	NN1
40	.	.
41	Place	VV0
42	a	AT1
43	corn	NN1
44	tortilla	NN1
45	in	II
46	the	AT
47	oil	NN1
48	for	IF
49	to	II
50	seconds	NNT2
51	on	II
52	either	DD1
53	side	NN1
54	to	TO
55	soften	VVI
56	.	.
57	Repeat	VV0
58	with	IW
59	all	DB
60	of	IO
61	the	AT
62	tortillas	NN2
63	(	(
64	if	CS
65	possible	JJ
66	,	,
67	have	VH0
68	someone	PN1
69	help	VV0
70	you	PPY
71	do	VDI
72	this	DD1
73	)	)
74	.	.
75	Place	VV0
76	tortillas	NN2
77	on	II
78	paper	NN1
79	towel	NN1
80	to	TO
81	soak	VVI
82	up	RP
83	some	DD
84	of	IO
85	the	AT
86	oil	NN1
87	.	.
88	Put	VV0
89	tablespoon	NN1
90	of	IO
91	the	AT
92	chicken	NN1
93	mixture	NN1
94	in	II
95	the	AT
96	center	NN1
97	of	IO
98	a	AT1
99	tortilla	NN1
100	and	CC
101	sprinkle	VV0
102	some	DD
103	cheese	NN1
104	on	II
105	top	NN1
106	.	.
107	Roll	VV0
108	up	RP
109	tortilla	NN1
110	and	CC
111	place	VV0
112	on	II
113	a	AT1
114	lightly	RR
115	greased	JJ
116	cookie	NN1
117	sheet	NN1
118	,	,
119	seam	NN1
120	side	NN1
121	down	RP
122	.	.
123	Repeat	VV0
124	with	IW
125	all	DB
126	of	IO
127	the	AT
128	tortillas	NN2
129	until	CS
130	chicken	NN1
131	mixture	NN1
132	is	VBZ
133	gone	VVN
134	.	.
135	If	CS
136	there	EX
137	is	VBZ
138	any	DD
139	cheese	NN1
140	left	VVD
141	over	RP
142	,	,
143	sprinkle	VV0
144	it	PPH1
145	over	II
146	the	AT
147	rolled	JJ
148	tortillas	NN2
149	.	.
150	Bake	VV0
151	tortillas	NN2
152	in	II
153	the	AT
154	preheated	JJ
155	oven	NN1
156	for	IF
157	to	II
158	minutes	NNT2
159	or	CC
160	until	CS
161	tortillas	NN2
162	are	VBR
163	a	RR21
164	little	RR22
165	crispy	JJ
166	and	CC
167	golden	JJ
168	brown	JJ
169	.	.

1	Spread	VV0
2	cream	NN1
3	cheese	NN1
4	over	II
5	a	AT1
6	meat	NN1
7	slice	NN1
8	to	TO
9	cover	VVI
10	.	.
11	Place	VV0
12	a	AT1
13	pickle	NN1
14	piece	NN1
15	on	II
16	one	MC1
17	end	NN1
18	,	,
19	and	CC
20	roll	VV0
21	the	AT
22	meat	NN1
23	up	RP
24	.	.
25	Repeat	VV0
26	with	IW
27	remaining	JJ
28	ingredients	NN2
29	.	.
30	Cut	VV0
31	into	II
32	/	FO
33	inch	NNU1
34	pieces	NN2
35	,	,
36	and	CC
37	chill	NN1
38	until	CS
39	ready	JJ
40	to	TO
41	serve	VVI
42	.	.

1	Mix	VV0
2	the	AT
3	dry	JJ
4	ranch	NN1
5	salad	NN1
6	dressing	VVG
7	mix	NN1
8	,	,
9	mayonnaise	VV0
10	,	,
11	and	CC
12	milk	NN1
13	in	II
14	a	AT1
15	bowl	NN1
16	.	.
17	Beat	VV0
18	in	II
19	the	AT
20	cream	NN1
21	cheese	NN1
22	with	IW
23	an	AT1
24	electric	JJ
25	mixer	NN1
26	until	CS
27	smooth	JJ
28	.	.
29	Mix	VV0
30	in	II
31	Cheddar	NP1
32	cheese	NN1
33	.	.
34	Cover	VV0
35	bowl	NN1
36	with	IW
37	plastic	NN1
38	wrap	NN1
39	,	,
40	and	CC
41	freeze	NN1
42	minutes	NNT2
43	.	.
44	Divide	VV0
45	mixture	NN1
46	in	II
47	half	DB
48	,	,
49	and	CC
50	shape	NN1
51	into	II
52	balls	NN2
