Index	Text	Lemma	POS	Semantics
1	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
2	the	the	AT	['Z5']
3	cream	cream	NN1	['F1']
4	cheese	cheese	NN1	['F1']
5	,	,	,	['PUNCT']
6	beef	beef	NN1	['F1']
7	,	,	,	['PUNCT']
8	olives	olive	NN2	['F1', 'L3', 'O4.3']
9	,	,	,	['PUNCT']
10	onion	onion	NN1	['F1']
11	,	,	,	['PUNCT']
12	and	and	CC	['Z5']
13	Worcestershire	worcestershire	NP1	['Z2', 'Z3c']
14	sauce	sauce	NN1	['S1.2.4-']
15	together	together	RL	['S5+', 'T1.1.2', 'M6']
16	in	in	II	['Z5']
17	a	a	AT1	['Z5']
18	bowl	bowl	NN1	['O2']
19	until	until	CS	['Z5']
20	evenly	evenly	RR	['N6+', 'A6.1+']
21	blended	blend	VBN	['A2.1+']
22	.	.	.	['PUNCT']
23	Keeping	keep	VBG	['A9+', 'N6+', 'T2++', 'A1.7+', 'A2.2', 'F4', 'S8+', 'H4']
24	the	the	AT	['Z5']
25	mixture	mixture	NN1	['O1.1', 'A6.3+']
26	in	in	II	['Z5']
27	the	the	AT	['Z5']
28	bowl	bowl	NN1	['O2']
29	,	,	,	['PUNCT']
30	scrape	scrape	VBP	['A5.4+']
31	it	it	PPH1	['A5.4+']
32	into	into	II	['Z5']
33	a	a	AT1	['Z5']
34	semi-ball	semi ball	NN1	['A13.4', 'O2/O4.4', 'K5.1', 'B1', 'K1']
37	shape	shape	NN1	['O4.4']
38	.	.	.	['PUNCT']
39	Cover	cover	VV0	['O2', 'A10-', 'Q4.1', 'B5', 'I1.1', 'H5']
40	,	,	,	['PUNCT']
41	and	and	CC	['Z5']
42	refrigerate	refrigerate	VB	['Z99']
43	until	until	CS	['Z5']
44	firm	firm	JJ	['I2.1/S5+c']
45	,	,	,	['PUNCT']
46	at	at	RR21	['Z5']
47	least	least	RR22	['N5.1-', 'A11.1---']
48	hours	hour	NNT2	['T1.3']
49	.	.	.	['PUNCT']
50	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
51	a	a	AT1	['Z5']
52	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
53	sheet	sheet	NN1	['B5', 'O2', 'Q1.2', 'N5']
54	of	of	IO	['Z5']
55	waxed	wax	VBN	['A1.1.1', 'N3.2+/A2.1', 'A2.1+', 'B4']
