Index	Text	POS Modified
1	Mix	VB
2	the	AT
3	cream	NN1
4	cheese	NN1
5	,	,
6	beef	NN1
7	,	,
8	olives	NN2
9	,	,
10	onion	NN1
11	,	,
12	and	CC
13	Worcestershire	NP1
14	sauce	NN1
15	together	RL
16	in	II
17	a	AT1
18	bowl	NN1
19	until	CS
20	evenly	RR
21	blended	VBN
22	.	.
23	Keeping	VBG
24	the	AT
25	mixture	NN1
26	in	II
27	the	AT
28	bowl	NN1
29	,	,
30	scrape	VBP
31	it	PPH1
32	into	II
33	a	AT1
34	semi-ball	NN1
35	shape	NN1
36	.	.
37	Cover	VV0
38	,	,
39	and	CC
40	refrigerate	VB
41	until	CS
42	firm	JJ
43	,	,
44	at	RR21
45	least	RR22
46	hours	NNT2
47	.	.
48	Place	VB
49	a	AT1
50	large	JJ
51	sheet	NN1
52	of	IO
53	waxed	VBN
54	paper	NN1
55	on	II
56	a	AT1
57	flat	JJ
58	surface	NN1
59	.	.
60	Sprinkle	VB
61	with	IW
62	walnuts	NN2
63	.	.
64	Roll	VB
65	the	AT
66	cheese	NN1
67	ball	NN1
68	in	II
69	the	AT
70	walnuts	NN2
71	until	CS
72	completely	RR
73	covered	VBN
74	.	.
75	Transfer	VV0
76	the	AT
77	cheese	NN1
78	ball	NN1
79	to	II
80	a	AT1
81	serving	VBG
82	plate	NN1
83	,	,
84	or	CC
85	rewrap	VV0
86	with	IW
87	waxed	VBN
88	paper	NN1
89	and	CC
90	refrigerate	VB
91	until	CS
92	needed	VBN
93	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	In	II
12	a	AT1
13	shallow	JJ
14	baking	NN1
15	dish	NN1
16	combine	VB
17	the	AT
18	artichoke	NN1
19	hearts	NN2
20	,	,
21	mozzarella	NN1
22	cheese	NN1
23	,	,
24	parmesan	JJ
25	cheese	NN1
26	and	CC
27	mayonnaise	NN1
28	.	.
29	Bake	VB
30	for	IF
31	minutes	NNT2
32	,	,
33	or	CC
34	until	CS
35	hot	JJ
36	and	CC
37	bubbly	JJ
38	.	.
39	Sprinkle	VB
40	with	IW
41	almonds	NN2
42	if	CS
43	desired	VBN
44	.	.
45	Serve	VB
46	hot	JJ
47	with	IW
48	tortilla	NN1
49	chips	NN2
50	or	CC
51	crackers	NN2
52	.	.
1	Bring	VB
2	a	AT1
3	small	JJ
4	saucepan	NN1
5	of	IO
6	water	NN1
7	to	TO
8	boil	VB
9	.	.
10	Turn	VB
11	off	RP
12	heat	NN1
13	.	.
14	Place	VB
15	sun-dried	VBN
16	tomatoes	NN2
17	in	II
18	the	AT
19	water	NN1
20	and	CC
21	cover	VV0
22	for	IF
23	minutes	NNT2
24	.	.
25	Drain	VV0
26	and	CC
27	finely	RR
28	chop	VB
29	.	.
30	In	II
31	a	AT1
32	medium	JJ
33	bowl	NN1
34	,	,
35	mix	VV0
36	cream	NN1
37	cheese	NN1
38	and	CC
39	garlic	NN1
40	.	.
41	Line	VV0
42	a	AT1
43	medium	JJ
44	bowl	NN1
45	or	CC
46	loaf	VV0
47	pan	NN1
48	with	IW
49	a	AT1
50	large	JJ
51	piece	NN1
52	of	IO
53	dampened	VBN
54	cheese	NN1
55	cloth	NN1
56	.	.
57	Layer	NN1
58	with	IW
59	/	FO
60	of	IO
61	the	AT
62	provolone	NN1
63	cheese	NN1
64	.	.
65	Spread	VV0
66	with	IW
67	/	FO
68	the	AT
69	pesto	NN1
70	.	.
71	Pour	VB
72	in	II
73	/	FO
74	the	AT
75	cream	NN1
76	cheese	NN1
77	and	CC
78	garlic	NN1
79	mixture	NN1
80	.	.
81	Layer	NN1
82	with	IW
83	/	FO
84	the	AT
85	sun-dried	VBN
86	tomatoes	NN2
87	.	.
88	Layer	NN1
89	with	IW
90	/	FO
91	provolone	NN1
92	,	,
93	remaining	VBG
94	pesto	NN1
95	,	,
96	remaining	VBG
97	cream	NN1
98	cheese	NN1
99	and	CC
100	garlic	NN1
101	mixture	NN1
102	and	CC
103	remaining	VBG
104	sun-dried	VBN
105	tomatoes	NN2
106	.	.
107	Top	NN1
108	with	IW
109	remaining	VBG
110	provolone	NN1
111	cheese	NN1
112	.	.
113	Pull	VB
114	cheese	NN1
115	cloth	NN1
116	around	II
117	the	AT
118	layered	JJ
119	mixture	NN1
120	and	CC
121	gently	RR
122	press	VV0
123	into	II
124	a	AT1
125	bowl	NN1
126	to	TO
127	mold	VVI
128	and	CC
129	remove	VB
130	excess	JJ
131	oil	NN1
132	.	.
133	Chill	NN1
134	in	II
135	the	AT
136	refrigerator	NN1
137	to	II
138	hours	NNT2
139	.	.
140	Remove	VB
141	cheese	NN1
142	cloth	NN1
143	and	CC
144	turn	VB
145	upside	RL21
146	down	RL22
147	onto	II
148	a	AT1
149	large	JJ
150	dish	NN1
151	to	TO
152	serve	VB
153	.	.
1	Mash	VV0
2	garlic	NN1
3	with	IW
4	the	AT
5	salt	NN1
6	in	II
7	a	AT1
8	small	JJ
9	bowl	NN1
10	.	.
11	Place	VB
12	into	II
13	a	AT1
14	blender	NN1
15	or	CC
16	food	NN1
17	processor	NN1
18	along	II21
19	with	II22
20	the	AT
21	garbanzo	NN1
22	beans	NN2
23	,	,
24	tahini	NN1
25	,	,
26	lemon	NN1
27	juice	NN1
28	,	,
29	honey	NN1
30	,	,
31	and	CC
32	enough	DD
33	water	NN1
34	to	TO
35	cover	VB
36	the	AT
37	beans	NN2
38	.	.
39	Process	VV0
40	until	CS
41	smooth	JJ
42	.	.
43	Spoon	VB
44	into	II
45	a	AT1
46	serving	VBG
47	dish	NN1
48	,	,
49	and	CC
50	drizzle	NN1
51	tablespoons	NN2
52	of	IO
53	olive	JJ
54	oil	NN1
55	over	II
56	the	AT
57	top	NN1
58	.	.
59	Preheat	VB
60	the	AT
61	oven	NN1
62	to	II
63	degrees	NN2
64	F	ZZ1
65	(	(
66	degrees	NN2
67	C	ZZ1
68	)	)
69	.	.
70	Brush	VV0
71	pita	NN1
72	breads	NN2
73	with	IW
74	remaining	VBG
75	olive	JJ
76	oil	NN1
77	,	,
78	and	CC
79	cut	VBD
80	into	II
81	wedges	NN2
82	.	.
83	Season	NNT1
84	with	IW
85	salt	NN1
86	and	CC
87	fresh	JJ
88	rosemary	NN1
89	.	.
90	Bake	VB
91	for	IF
92	minutes	NNT2
93	in	II
94	the	AT
95	preheated	JJ
96	oven	NN1
97	.	.
98	Cool	JJ
99	,	,
100	and	CC
101	serve	VB
102	with	IW
103	hummus	NN1
104	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	In	II
12	a	AT1
