Index	Text	Lemma	POS
1	Mix	mix	VB
2	the	the	DT
3	cream	cream	NN
4	cheese	cheese	NN
5	,	,	,
6	beef	beef	NN
7	,	,	,
8	olives	olive	NNS
9	,	,	,
10	onion	onion	NN
11	,	,	,
12	and	and	CC
13	Worcestershire	worcestershire	NN
14	sauce	sauce	NN
15	together	together	RB
16	in	in	IN
17	a	a	DT
18	bowl	bowl	NN
19	until	until	IN
20	evenly	evenly	RB
21	blended	blend	VBN
22	.	.	.
23	Keeping	keep	VBG
24	the	the	DT
25	mixture	mixture	NN
26	in	in	IN
27	the	the	DT
28	bowl	bowl	NN
29	,	,	,
30	scrape	scrape	VBP
31	it	it	PRP
32	into	into	IN
33	a	a	DT
34	semi-ball	semi-ball	JJ
35	shape	shape	NN
36	.	.	,
37	Cover	cover	NN
38	,	,	,
39	and	and	CC
40	refrigerate	refrigerate	VB
41	until	until	IN
42	firm	firm	NN
43	,	,	,
44	at	at	IN
45	least	least	RBS
46	hours	hour	NNS
47	.	.	.
48	Place	place	VB
49	a	a	DT
50	large	large	JJ
51	sheet	sheet	NN
52	of	of	IN
53	waxed	wax	VBN
54	paper	paper	NN
55	on	on	IN
56	a	a	DT
57	flat	flat	JJ
58	surface	surface	NN
59	.	.	.
60	Sprinkle	sprinkle	VB
61	with	with	IN
62	walnuts	walnut	NNS
63	.	.	.
64	Roll	roll	VB
65	the	the	DT
66	cheese	cheese	NN
67	ball	ball	NN
68	in	in	IN
69	the	the	DT
70	walnuts	walnut	NNS
71	until	until	IN
72	completely	completely	RB
73	covered	cover	VBN
74	.	.	.
75	Transfer	transfer	NN
76	the	the	DT
77	cheese	cheese	NN
78	ball	ball	NN
79	to	to	IN
80	a	a	DT
81	serving	serve	VBG
82	plate	plate	NN
83	,	,	,
84	or	or	CC
85	rewrap	rewrap	NN
86	with	with	IN
87	waxed	wax	VBN
88	paper	paper	NN
89	and	and	CC
90	refrigerate	refrigerate	VB
91	until	until	IN
92	needed	need	VBN
93	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	In	in	IN
12	a	a	DT
13	shallow	shallow	JJ
14	baking	baking	NN
15	dish	dish	NN
16	combine	combine	VB
17	the	the	DT
18	artichoke	artichoke	NN
19	hearts	heart	NNS
20	,	,	,
21	mozzarella	mozzarella	NN
22	cheese	cheese	NN
23	,	,	,
24	parmesan	Parmesan	NN
25	cheese	cheese	NN
26	and	and	CC
27	mayonnaise	mayonnaise	NN
28	.	.	.
29	Bake	bake	VB
30	for	for	IN
31	minutes	minute	NNS
32	,	,	,
33	or	or	CC
34	until	until	IN
35	hot	hot	JJ
36	and	and	CC
37	bubbly	bubbly	RB
38	.	.	.
39	Sprinkle	sprinkle	VB
40	with	with	IN
41	almonds	almond	NNS
42	if	if	IN
43	desired	desire	VBN
44	.	.	.
45	Serve	serve	VB
46	hot	hot	JJ
47	with	with	IN
48	tortilla	tortilla	NN
49	chips	chip	NNS
50	or	or	CC
51	crackers	cracker	NNS
52	.	.	.

1	Bring	bring	VB
2	a	a	DT
3	small	small	JJ
4	saucepan	saucepan	NN
5	of	of	IN
6	water	water	NN
7	to	to	TO
8	boil	boil	VB
9	.	.	.
10	Turn	turn	VB
11	off	off	RP
12	heat	heat	NN
13	.	.	.
14	Place	place	VB
15	sun-dried	sun-dry	VBN
16	tomatoes	tomato	NNS
17	in	in	IN
18	the	the	DT
19	water	water	NN
20	and	and	CC
21	cover	cover	NN
22	for	for	IN
23	minutes	minute	NNS
24	.	.	.
25	Drain	drain	NN
26	and	and	CC
27	finely	finely	RB
28	chop	chop	VB
29	.	.	.
30	In	in	IN
31	a	a	DT
32	medium	medium	JJ
33	bowl	bowl	NN
34	,	,	,
35	mix	mix	NN
36	cream	cream	NN
37	cheese	cheese	NN
38	and	and	CC
39	garlic	garlic	NN
40	.	.	.
41	Line	line	NN
42	a	a	DT
43	medium	medium	JJ
44	bowl	bowl	NN
45	or	or	CC
46	loaf	loaf	NN
47	pan	pan	NN
48	with	with	IN
49	a	a	DT
50	large	large	JJ
51	piece	piece	NN
52	of	of	IN
53	dampened	dampen	VBN
54	cheese	cheese	NN
55	cloth	cloth	NN
56	.	.	.
57	Layer	layer	NN
58	with	with	IN
59	/	/	HYPH
60	of	of	IN
61	the	the	DT
62	provolone	provolone	NN
63	cheese	cheese	NN
64	.	.	.
65	Spread	spread	NN
66	with	with	IN
67	/	/	,
68	the	the	DT
69	pesto	pesto	NN
70	.	.	.
71	Pour	pour	VB
72	in	in	RP
73	/	/	,
74	the	the	DT
75	cream	cream	NN
76	cheese	cheese	NN
77	and	and	CC
78	garlic	garlic	NN
79	mixture	mixture	NN
80	.	.	.
81	Layer	layer	NN
82	with	with	IN
83	/	/	,
84	the	the	DT
85	sun-dried	sun-dry	VBN
86	tomatoes	tomato	NNS
87	.	.	.
88	Layer	layer	NN
89	with	with	IN
90	/	/	SYM
91	provolone	provolone	NN
92	,	,	,
93	remaining	remain	VBG
94	pesto	pesto	NN
95	,	,	,
96	remaining	remain	VBG
97	cream	cream	NN
98	cheese	cheese	NN
99	and	and	CC
100	garlic	garlic	NN
101	mixture	mixture	NN
102	and	and	CC
103	remaining	remain	VBG
104	sun-dried	sun-dry	VBN
105	tomatoes	tomato	NNS
106	.	.	.
107	Top	top	JJ
108	with	with	IN
109	remaining	remain	VBG
110	provolone	provolone	NN
111	cheese	cheese	NN
112	.	.	.
113	Pull	pull	VB
114	cheese	cheese	NN
115	cloth	cloth	NN
116	around	around	IN
117	the	the	DT
118	layered	layered	JJ
119	mixture	mixture	NN
120	and	and	CC
121	gently	gently	RB
122	press	press	NN
123	into	into	IN
124	a	a	DT
125	bowl	bowl	NN
126	to	to	IN
127	mold	mold	NN
128	and	and	CC
129	remove	remove	VB
130	excess	excess	JJ
131	oil	oil	NN
132	.	.	.
133	Chill	Chill	NNP
134	in	in	IN
135	the	the	DT
136	refrigerator	refrigerator	NN
137	to	to	IN
138	hours	hour	NNS
139	.	.	.
140	Remove	remove	VB
141	cheese	cheese	NN
142	cloth	cloth	NN
143	and	and	CC
144	turn	turn	VB
145	upside	upside	RB
146	down	down	RB
147	onto	onto	IN
148	a	a	DT
149	large	large	JJ
150	dish	dish	NN
151	to	to	TO
152	serve	serve	VB
153	.	.	.

1	Mash	mash	NN
2	garlic	garlic	NN
3	with	with	IN
4	the	the	DT
5	salt	salt	NN
6	in	in	IN
7	a	a	DT
8	small	small	JJ
9	bowl	bowl	NN
10	.	.	.
11	Place	place	VB
12	into	into	IN
13	a	a	DT
14	blender	blender	NN
15	or	or	CC
16	food	food	NN
17	processor	processor	NN
18	along	along	IN
19	with	with	IN
20	the	the	DT
21	garbanzo	garbanzo	NN
22	beans	bean	NNS
23	,	,	,
24	tahini	tahinus	NNS
25	,	,	,
26	lemon	lemon	NN
27	juice	juice	NN
28	,	,	,
29	honey	honey	NN
30	,	,	,
31	and	and	CC
32	enough	enough	JJ
33	water	water	NN
34	to	to	TO
35	cover	cover	VB
36	the	the	DT
37	beans	bean	NNS
38	.	.	.
39	Process	process	NN
40	until	until	IN
41	smooth	smooth	JJ
42	.	.	.
43	Spoon	spoon	VB
44	into	into	IN
45	a	a	DT
46	serving	serve	VBG
47	dish	dish	NN
48	,	,	,
49	and	and	CC
50	drizzle	drizzle	NN
51	tablespoons	tablespoon	NNS
52	of	of	IN
53	olive	olive	JJ
54	oil	oil	NN
55	over	over	IN
56	the	the	DT
57	top	top	NN
58	.	.	.
59	Preheat	preheat	VB
60	the	the	DT
61	oven	oven	NN
62	to	to	IN
63	degrees	degree	NNS
64	F	f	NN
65	(	(	-LRB-
66	degrees	degree	NNS
67	C	c	NN
68	)	)	-RRB-
69	.	.	.
70	Brush	brush	NN
71	pita	pita	NN
72	breads	bread	NNS
73	with	with	IN
74	remaining	remain	VBG
75	olive	olive	JJ
76	oil	oil	NN
77	,	,	,
78	and	and	CC
79	cut	cut	VBD
80	into	into	IN
81	wedges	wedge	NNS
82	.	.	.
83	Season	season	NN
84	with	with	IN
85	salt	salt	NN
