Index	Text	Lemma	POS	USAS Tags
1	Mix	mix	VERB	['A2.1+', 'S1.1.3+', 'K3']
2	the	the	DET	['Z5']
3	cream	cream	NOUN	['F1']
4	cheese	cheese	NOUN	['F1']
5	,	,	PUNCT	['PUNCT']
6	beef	beef	NOUN	['F1']
7	,	,	PUNCT	['PUNCT']
8	olives	olive	NOUN	['F1', 'L3', 'O4.3']
9	,	,	PUNCT	['PUNCT']
10	onion	onion	NOUN	['F1']
11	,	,	PUNCT	['PUNCT']
12	and	and	CCONJ	['Z5']
13	Worcestershire	worcestershire	NOUN	['Z2', 'Z3c']
14	sauce	sauce	VERB	['S1.2.4-']
15	together	together	ADV	['S5+', 'T1.1.2', 'M6']
16	in	in	ADP	['Z5']
17	a	a	DET	['Z5']
18	bowl	bowl	NOUN	['O2']
19	until	until	ADP	['Z5']
20	evenly	evenly	ADV	['N6+', 'A6.1+']
21	blended	blend	VERB	['A2.1+']
22	.	.	PUNCT	['PUNCT']
23	Keeping	keep	VERB	['A9+', 'N6+', 'T2++', 'A1.7+', 'A2.2', 'F4', 'S8+', 'H4']
24	the	the	DET	['Z5']
25	mixture	mixture	NOUN	['O1.1', 'A6.3+']
26	in	in	ADP	['Z5']
27	the	the	DET	['Z5']
28	bowl	bowl	NOUN	['O2']
29	,	,	PUNCT	['PUNCT']
30	scrape	scrape	VERB	['A5.4+']
31	it	it	PRON	['A5.4+']
32	into	into	ADP	['Z5']
33	a	a	DET	['Z5']
34	semi	semi	ADJ	['A13.4']
35	-	-	ADJ	['Z99']
36	ball	ball	ADJ	['O2/O4.4', 'K5.1', 'B1', 'K1']
37	shape	shape	NOUN	['O4.4']
38	.	.	PUNCT	['PUNCT']
39	Cover	cover	NOUN	['O2', 'A10-', 'Q4.1', 'B5', 'I1.1', 'H5']
40	,	,	PUNCT	['PUNCT']
41	and	and	CCONJ	['Z5']
42	refrigerate	refrigerate	VERB	['Z99']
43	until	until	ADP	['Z5']
44	firm	firm	NOUN	['I2.1/S5+c']
45	,	,	PUNCT	['PUNCT']
46	at	at	ADP	['Z5']
47	least	least	ADJ	['N5.1-', 'A11.1---']
48	hours	hour	NOUN	['T1.3']
49	.	.	PUNCT	['PUNCT']
50	Place	place	VERB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
51	a	a	DET	['Z5']
52	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
53	sheet	sheet	NOUN	['B5', 'O2', 'Q1.2', 'N5']
54	of	of	ADP	['Z5']
55	waxed	wax	VERB	['A1.1.1', 'N3.2+/A2.1', 'A2.1+', 'B4']
56	paper	paper	NOUN	['Q4.2c', 'O1.1', 'Q1.2', 'P1/Q1.2', 'H5']
57	on	on	ADP	['Z5']
58	a	a	DET	['Z5']
59	flat	flat	ADJ	['O4.4', 'O3', 'O4.1', 'K2', 'A5.3+']
60	surface	surface	NOUN	['M6', 'O2', 'A10+']
61	.	.	PUNCT	['PUNCT']
62	Sprinkle	sprinkle	VERB	['A1.1.1']
63	with	with	ADP	['Z5']
64	walnuts	walnut	NOUN	['F1']
65	.	.	PUNCT	['PUNCT']
66	Roll	roll	VERB	['M1', 'M2', 'A1.1.1']
67	the	the	DET	['Z5']
68	cheese	cheese	NOUN	['F1']
69	ball	ball	NOUN	['O2/O4.4', 'K5.1', 'B1', 'K1']
70	in	in	ADP	['Z5']
71	the	the	DET	['Z5']
72	walnuts	walnut	NOUN	['F1']
73	until	until	ADP	['Z5']
74	completely	completely	ADV	['A13.2']
