Index	Text	POS	MWE start and end index	USAS Tags
3	cream	cream	NOUN	['F1']
4	cheese	cheese	NOUN	['F1']
30	scrape	scrape	VERB	['A5.4+']
31	it	it	PRON	['A5.4+']

14	baking	baking	NOUN	['F1/O2']
15	dish	dish	NOUN	['F1/O2']
18	artichoke	artichoke	PROPN	['T1.3']
19	hearts	heart	NOUN	['T1.3']
25	cheese	cheese	NOUN	['T1.3']
26	and	and	CCONJ	['T1.3']
27	mayonnaise	mayonnaise	NOUN	['T1.3']

14	Place	Place	PROPN	['T1.3']
15	sun	sun	NOUN	['T1.3']
38	cream	cream	NOUN	['F1']
39	cheese	cheese	NOUN	['F1']
77	cream	cream	NOUN	['F1']
78	cheese	cheese	NOUN	['F1']
101	cream	cream	NOUN	['F1']
102	cheese	cheese	NOUN	['F1']
151	upside	upside	ADV	['M6']
152	down	down	ADV	['M6']

16	food	food	NOUN	['O2/F1']
17	processor	processor	NOUN	['O2/F1']
18	along	along	ADP	['Z5']
19	with	with	ADP	['Z5']
53	olive	olive	NOUN	['F1']
54	oil	oil	NOUN	['F1']
55	over	over	ADP	['N5.2+']
56	the	the	DET	['N5.2+']
57	top	top	NOUN	['N5.2+']
70	Brush	Brush	PROPN	['T1.3']
71	pita	pita	NOUN	['T1.3']
75	olive	olive	NOUN	['F1']
76	oil	oil	NOUN	['F1']
95	preheated	preheated	ADJ	['T1.3']
96	oven	oven	PROPN	['T1.3']

21	sauce	sauce	NOUN	['T1.3']
22	and	and	CCONJ	['T1.3']
23	ground	ground	NOUN	['T1.3']
51	on	on	ADP	['S8+']
52	either	either	DET	['S8+']
53	side	side	NOUN	['S8+']
69	help	help	VERB	['A5.4+']
70	you	you	PRON	['A5.4+']
75	Place	Place	PROPN	['Z1mf', 'Z3c']
76	tortillas	tortillas	PROPN	['Z1mf', 'Z3c']
78	paper	paper	NOUN	['B4/B5']
79	towel	towel	NOUN	['B4/B5']
89	tablespoon	tablespoon	NOUN	['Df/A5.1+++mfnc']
90	of	of	ADP	['Df/A5.1+++mfnc']
91	the	the	DET	['Df/A5.1+++mfnc']
92	chicken	chicken	NOUN	['Df/A5.1+++mfnc']
97	of	of	ADP	['N6+', 'T1.2']
98	a	a	DET	['N6+', 'T1.2']
99	tortilla	tortilla	NOUN	['N6+', 'T1.2']
104	on	on	ADP	['S7.1+', 'M6', 'N5++']
105	top	top	NOUN	['S7.1+', 'M6', 'N5++']
109	tortilla	tortilla	NOUN	['T1.3']
110	and	and	CCONJ	['T1.3']
111	place	place	NOUN	['T1.3']
119	seam	seam	NOUN	['M7']
120	side	side	NOUN	['M7']
143	sprinkle	sprinkle	VERB	['A5.4+']
144	it	it	PRON	['A5.4+']
150	Bake	Bake	PROPN	['Z1mf', 'Z3c']
151	tortillas	tortillas	PROPN	['Z1mf', 'Z3c']
167	golden	golden	ADJ	['T1.3']
168	brown	brown	PROPN	['T1.3']

2	cream	cream	NOUN	['F1']
3	cheese	cheese	NOUN	['F1']

20	cream	cream	NOUN	['F1']
21	cheese	cheese	NOUN	['F1']
31	Cheddar	Cheddar	PROPN	['T1.3']
32	cheese	cheese	NOUN	['T1.3']
46	in	in	ADP	['A2.1+']
47	half	half	NOUN	['A2.1+']
55	each	each	DET	['N6+']
56	ball	ball	NOUN	['N6+']

25	salt	salt	NOUN	['T1.3']
26	and	and	CCONJ	['T1.3']
27	pepper	pepper	NOUN	['T1.3']
34	tablespoon	tablespoon	NOUN	['Df/A5.1+++mfnc']
35	of	of	ADP	['Df/A5.1+++mfnc']
36	the	the	DET	['Df/A5.1+++mfnc']
37	meat	meat	NOUN	['Df/A5.1+++mfnc']
43	each	each	DET	['N6+']
44	leaf	leaf	NOUN	['N6+']
56	on	on	ADP	['S8+']
57	each	each	DET	['S8+']
58	side	side	NOUN	['S8+']
78	each	each	DET	['N6+']
79	layer	layer	NOUN	['N6+']
116	on	on	ADP	['S7.1+', 'M6', 'N5++']
117	top	top	NOUN	['S7.1+', 'M6', 'N5++']
122	keep	keep	VERB	['A5.4+']
123	them	they	PRON	['A5.4+']
124	under	under	ADP	['M4']
125	water	water	NOUN	['M4']
140	hour	hour	NOUN	['T1.3']
141	and	and	CCONJ	['T1.3']
142	minutes	minute	NOUN	['T1.3']

15	brown	brown	ADJ	['F1']
16	sugar	sugar	NOUN	['F1']
28	cinnamon	cinnamon	PROPN	['Z1mf', 'Z3c']
29	stick	stick	PROPN	['Z1mf', 'Z3c']
52	let	let	VERB	['A5.4+']
53	it	it	PRON	['A5.4+']
89	liquid	liquid	NOUN	['T1.3']
90	and	and	CCONJ	['T1.3']
91	beets	beet	NOUN	['T1.3']

13	baking	bake	VERB	['F1/O2']
14	sheet	sheet	NOUN	['F1/O2']
21	whites	white	NOUN	['T1.3']
22	and	and	CCONJ	['T1.3']
23	vanilla	vanilla	NOUN	['T1.3']
38	brown	brown	ADJ	['F1']
39	sugar	sugar	NOUN	['F1']
41	white	white	ADJ	['T1.3']
42	sugar	sugar	PROPN	['T1.3']
58	baking	baking	NOUN	['F1/O2']
59	dish	dish	NOUN	['F1/O2']
63	preheated	preheated	ADJ	['T1.3']
64	oven	oven	PROPN	['T1.3']

5	orange	orange	PROPN	['Z1mf', 'Z3c']
6	bell	bell	PROPN	['Z1mf', 'Z3c']
9	jalapeno	jalapeno	PROPN	['T1.3']
10	pepper	pepper	NOUN	['T1.3']

19	green	green	ADJ	['T1.3']
20	bell	bell	PROPN	['T1.3']
21	pepper	pepper	NOUN	['T1.3']
22	and	and	CCONJ	['T1.3']
23	zucchini	zucchini	NOUN	['T1.3']
37	stock	stock	NOUN	['T1.3']
38	and	and	CCONJ	['T1.3']
39	soy	soy	NOUN	['T1.3']
107	paper	paper	NOUN	['B4/B5']
108	towels	towel	NOUN	['B4/B5']

12	sausage	sausage	NOUN	['T1.3']
13	and	and	CCONJ	['T1.3']
14	onion	onion	NOUN	['T1.3']
52	pepper	pepper	NOUN	['T1.3']
53	and	and	CCONJ	['T1.3']
54	tablespoons	tablespoon	NOUN	['T1.3']
55	bread	bread	NOUN	['F1']
56	crumbs	crumb	NOUN	['F1']
59	cream	cream	NOUN	['F1']
60	cheese	cheese	NOUN	['F1']
108	egg	egg	NOUN	['T1.3']
109	and	and	CCONJ	['T1.3']
110	milk	milk	NOUN	['T1.3']
123	bread	bread	NOUN	['F1']
124	crumbs	crumb	NOUN	['F1']
140	paper	paper	NOUN	['B4/B5']
141	towels	towel	NOUN	['B4/B5']

6	beef	beef	NOUN	['T1.3']
7	and	and	CCONJ	['T1.3']
8	onion	onion	NOUN	['T1.3']
105	each	each	DET	['N6+']
106	biscuit	biscuit	NOUN	['N6+']
113	on	on	ADP	['S8+']
114	a	a	DET	['S8+']
115	side	side	NOUN	['S8+']
122	baking	baking	NOUN	['F1/O2']
123	sheet	sheet	NOUN	['F1/O2']
127	tablespoons	tablespoon	NOUN	['Df/A5.1+++mfnc']
128	of	of	ADP	['Df/A5.1+++mfnc']
129	the	the	DET	['Df/A5.1+++mfnc']
130	beef	beef	NOUN	['Df/A5.1+++mfnc']
136	each	each	DET	['N6+']
137	square	square	NOUN	['N6+']
145	meet	meet	VERB	['A5.4+']
146	its	its	PRON	['A5.4+']
154	Seal	seal	VERB	['S7.1+']
155	the	the	DET	['S7.1+']
156	edges	edge	NOUN	['S7.1+']
163	three	three	NUM	['N1']
164	small	small	ADJ	['N1']
170	each	each	DET	['N6+']
171	pocket	pocket	NOUN	['N6+']
179	golden	golden	ADJ	['T1.3']
180	brown	brown	PROPN	['T1.3']
186	each	each	DET	['N6+']
187	pocket	pocket	NOUN	['N6+']

1	Preheat	preheat	VERB	['A5.4+']
2	your	your	PRON	['A5.4+']
21	no	no	ADV	['T2-']
22	longer	long	ADV	['T2-']
33	baking	baking	NOUN	['F1/O2']
34	sheet	sheet	NOUN	['F1/O2']
66	pizza	pizza	NOUN	['F1']
67	sauce	sauce	NOUN	['F1']

10	dill	dill	NOUN	['T1.3']
11	and	and	CCONJ	['T1.3']
12	vegetable	vegetable	NOUN	['T1.3']

13	Cook	Cook	PROPN	['T1.3']
14	spaghetti	spaghetti	NOUN	['T1.3']
41	olive	olive	NOUN	['F1']
42	oil	oil	NOUN	['F1']
61	Spray	Spray	PROPN	['Z1mf', 'Z3c']
62	muffin	muffin	PROPN	['Z1mf', 'Z3c']
73	Parmesan	Parmesan	PROPN	['F1']
74	cheese	cheese	NOUN	['F1']
80	prepared	prepared	ADJ	['T1.3']
81	muffin	muffin	PROPN	['T1.3']
87	each	each	DET	['N6+']
88	cup	cup	NOUN	['N6+']
97	each	each	DET	['N6+']
98	nest	nest	NOUN	['N6+']
101	pasta	pasta	NOUN	['F1']
102	sauce	sauce	NOUN	['F1']
109	pasta	pasta	NOUN	['F1']
110	sauce	sauce	NOUN	['F1']
116	Parmesan	Parmesan	PROPN	['F1']
117	cheese	cheese	NOUN	['F1']
118	over	over	ADP	['N5.2+']
119	the	the	DET	['N5.2+']
120	tops	top	NOUN	['N5.2+']
122	each	each	DET	['N6+']
123	meatball	meatball	NOUN	['N6+']
132	pasta	pasta	NOUN	['T1.3']
133	and	and	CCONJ	['T1.3']
134	meatballs	meatball	NOUN	['T1.3']

16	on	on	ADP	['Df']
17	the	the	DET	['Df']
18	flat	flat	ADJ	['Df']
19	side	side	NOUN	['Df']
21	each	each	DET	['N6+']
22	nut	nut	NOUN	['N6+']
44	baking	baking	NOUN	['F1/O2']
45	pan	pan	NOUN	['F1/O2']
67	butter	butter	NOUN	['T1.3']
68	and	and	CCONJ	['T1.3']
69	saute	saute	NOUN	['T1.3']
95	on	on	ADP	['S7.1+', 'M6', 'N5++']
96	top	top	NOUN	['S7.1+', 'M6', 'N5++']
100	salt	salt	NOUN	['T1.3']
101	and	and	CCONJ	['T1.3']
102	cinnamon	cinnamon	NOUN	['T1.3']

40	baking	baking	NOUN	['F1/O2']
41	sheet	sheet	NOUN	['F1/O2']
53	brown	brown	ADJ	['F1']
54	sugar	sugar	NOUN	['F1']
76	no	no	ADV	['T2-']
77	longer	long	ADV	['T2-']

12	baking	bake	VERB	['F1/O2']
13	sheets	sheet	NOUN	['F1/O2']
21	sugar	sugar	NOUN	['T1.3']
